gs_name,NGenes,Direction,PValue,FDR,mode,contrast
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS,37,Up,1.6773902753060135e-5,9.945301051653074e-4,stage_only,early_wound_vs_normal_skin
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,77,Up,1.8090851795294975e-5,0.001039093299992255,stage_only,early_wound_vs_normal_skin
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,62,Up,2.02324193631886e-5,0.0011268844481678983,stage_only,early_wound_vs_normal_skin
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,127,Up,2.0985520394291264e-5,0.001134452543667863,stage_only,early_wound_vs_normal_skin
REACTOME_ECM_PROTEOGLYCANS,71,Up,2.4136539126931843e-5,0.001267513111865735,stage_only,early_wound_vs_normal_skin
REACTOME_IRAK4_DEFICIENCY_TLR2_4,15,Up,2.503959074457554e-5,0.0012784102163480512,stage_only,early_wound_vs_normal_skin
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,51,Up,2.876459226514825e-5,0.0014289005563065536,stage_only,early_wound_vs_normal_skin
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,78,Up,3.211477008554166e-5,0.001553340721505936,stage_only,early_wound_vs_normal_skin
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,18,Up,3.4770397901013815e-5,0.0016386664446682922,stage_only,early_wound_vs_normal_skin
REACTOME_SIGNALING_BY_INTERLEUKINS,419,Up,4.275706856763435e-5,0.0019646873006827987,stage_only,early_wound_vs_normal_skin
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,225,Up,4.815114476596951e-5,0.0021157786335763828,stage_only,early_wound_vs_normal_skin
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,26,Up,4.8590264341115756e-5,0.0021157786335763828,stage_only,early_wound_vs_normal_skin
