p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.9150526729332773,0.288,0.007,0,5,FAM110D
0,7.152101492602483,0.396,0.012,0,6,IL1B
0,6.968974759427178,0.299,0.003,0,6,CD1E
0,6.963254248756591,0.295,0.003,0,6,MS4A7
0,6.922601938863705,0.292,0.007,0,6,MMP9
0,6.906096147807755,0.275,0.003,0,6,KYNU
0,6.840169493756914,0.583,0.008,0,6,MS4A6A
0,6.715940351337063,0.25,0.005,0,6,C5AR1
0,6.66791071287963,0.467,0.005,0,6,SPI1
0,6.643369374636622,0.333,0.007,0,6,C1QC
0,6.638861572497318,0.306,0.003,0,6,CSF2RA
0,6.568533612884472,0.421,0.005,0,6,FCGR2B
0,6.559678543828921,0.32,0.011,0,6,C15orf48
0,6.529685911591134,0.454,0.006,0,6,CLEC10A
0,6.5238556718930365,0.275,0.003,0,6,VSIG4
0,6.513173666772985,0.282,0.007,0,6,FOLR2
0,2.855969459952071,0.623,0.101,0,7,SELE
1.3965587532827354e-238,2.6954946572299936,0.363,0.103,3.125358833971434e-234,7,PECAM1
1.3010482871490309e-145,2.297684760396767,0.433,0.209,2.9116159618108165e-141,7,SPRY1
3.8495810935027e-105,2.0881427048372867,0.326,0.146,8.614977529149693e-101,7,RAMP2
0,2.0799505188396465,0.744,0.208,0,7,TM4SF1
0,2.030790274597969,0.731,0.311,0,7,SPARCL1
0,2.0284654613195006,0.509,0.107,0,7,ACKR1
1.1282371167884158e-163,2.0055554970041203,0.32,0.101,2.524881843660796e-159,7,CLDN5
1.7645e-319,1.9525288671247196,0.703,0.334,3.948788084e-315,7,IFI27
1.5942432040824744e-21,1.8412242404215644,0.284,0.226,3.567756866416169e-17,7,TSHZ2
5.682016385981975e-133,1.8406144511207296,0.369,0.152,1.2715784470189062e-128,7,RPS4Y1
5.761795070341829e-30,1.830137258103025,0.265,0.182,1.2894321187917979e-25,7,LMCD1
2.387748503999521e-110,1.7736889096483708,0.511,0.334,5.343542377100528e-106,7,GNG11
5.789187450389043e-36,1.738647653396198,0.276,0.18,1.295562259522564e-31,7,SYNE2
1.3853906765929768e-93,1.6349031168925388,0.253,0.096,3.100365795147423e-89,7,HBA2
0,6.002637677487974,0.304,0.006,0,8,RERGL
0,5.721758751317722,0.648,0.026,0,8,RGS5
0,5.3782522411643585,0.271,0.005,0,8,HIGD1B
0,5.359095198289199,0.853,0.122,0,8,ACTA2
0,5.183631679998127,0.361,0.008,0,8,PPP1R14A
0,5.153264430640226,0.454,0.014,0,8,GJA4
0,5.093295059893978,0.252,0.006,0,8,ITGA7
0,4.96370542567401,0.318,0.013,0,8,SSTR2
0,4.8443289812181005,0.3,0.018,0,8,CCL8
0,4.751292996029231,0.298,0.012,0,8,EFHD1
0,4.6609835410186005,0.253,0.008,0,8,AVPR1A
0,4.647963276424141,0.396,0.017,0,8,LGI4
0,4.588954903559098,0.259,0.022,0,8,CNN1
0,4.55649790366187,0.724,0.106,0,8,MT1A
0,4.5349751655563875,0.376,0.027,0,8,SORBS2
0,2.906453663464938,0.462,0.036,0,9,CD24
1.986742139591246e-193,2.7068351456368136,0.293,0.054,4.446130234191249e-189,9,PCSK1N
0,2.6762356061222743,0.647,0.088,0,9,FAM180B
5.2054144706627526e-279,2.5856490206157448,0.304,0.042,1.1649197043896173e-274,9,AP002884.1
0,2.5824324853358873,0.861,0.115,0,9,PCOLCE2
0,2.4864077586886837,0.339,0.037,0,9,CD70
0,2.403354577728177,0.763,0.159,0,9,F10
0,2.331859048157208,0.819,0.216,0,9,MMP23B
2.6343944312613555e-200,2.2999742791537097,0.389,0.088,5.895511297719787e-196,9,SLPI
0,2.2817382700748436,0.899,0.254,0,9,PAM
0,2.2527057295815287,0.456,0.071,0,9,CLEC3B
1.0430482131220477e-178,2.238558291644915,0.338,0.077,2.3342375961458304e-174,9,MOXD1
0,2.227992351753984,0.852,0.244,0,9,IGFBP6
0,2.169044850684564,0.843,0.228,0,9,CERCAM
2.1172430329164177e-287,2.1670107155312244,0.489,0.106,4.738178183363651e-283,9,C1QTNF2
0,3.3103762510539534,0.459,0.029,0,10,ACP5
0,3.2552859435707795,0.48,0.03,0,10,MATN4
0,3.1934018629362835,0.316,0.024,0,10,C1QTNF4
0,3.090819200283321,0.962,0.212,0,10,PI16
0,3.083220953140348,0.339,0.028,0,10,HRCT1
0,2.935225280842058,0.856,0.101,0,10,SEMA3B
0,2.8303665889237886,1,0.646,0,10,SPARC
0,2.73121658413306,0.96,0.261,0,10,ELN
0,2.608915547745122,0.4,0.043,0,10,MMP27
0,2.5577852329652835,0.991,0.261,0,10,PDGFRL
0,2.545096285989398,0.808,0.087,0,10,FAM180B
0,2.467874270503556,0.552,0.06,0,10,AGTR1
5.909458486795941e-283,2.45317620991149,0.338,0.041,1.3224777147600635e-278,10,BCHE
0,2.355116628187314,0.832,0.168,0,10,CREB3L1
0,2.3538042749489168,0.943,0.228,0,10,PLTP
0,6.285955380899712,0.37,0.025,0,11,PTPRS
7.050279561004869e-133,5.330969639710159,0.334,0.088,1.5777820629572796e-128,11,S1PR2
0,5.045589371037448,0.771,0.266,0,11,AXL
5.0317557677787924e-116,4.820157098905396,0.443,0.18,1.1260566232712159e-111,11,TWIST1
2.491745785660286e-101,4.815017219996484,0.41,0.168,5.576277893729154e-97,11,BICC1
6.286380979468831e-129,4.777038620358208,0.629,0.403,1.4068291993953297e-124,11,WTAP
2.0855578095031998e-157,4.654722503137268,0.526,0.207,4.667269821887211e-153,11,C11orf96
1.7930460156738156e-95,4.624189198780314,0.339,0.118,4.012657678476432e-91,11,PER2
2.2382909309596645e-127,4.5446108445189495,0.341,0.095,5.009071274394633e-123,11,INSR
1.2859096195110452e-130,4.458270998164634,0.53,0.248,2.877737137503768e-126,11,B4GALT1
5.668990830406556e-97,4.391486757966911,0.486,0.251,1.268663457936683e-92,11,CRISPLD2
4.325368724333994e-93,4.235759934387957,0.411,0.177,9.679742668187045e-89,11,CHP1
9.361632880080384e-56,4.062454664324443,0.343,0.171,2.095039822233189e-51,11,TSPYL1
1.2653071315581022e-60,4.040137556465451,0.364,0.183,2.831630829713877e-56,11,DDX6
8.434472943162378e-92,4.0290637209923785,0.514,0.304,1.8875506999503085e-87,11,MAP1B
0,5.730326693745832,0.742,0.046,0,12,TSPAN8
0,4.5694228183575465,0.47,0.032,0,12,MATN4
