entrez_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
1514,5.20387807286784,7.2527715824609675,24.32282828707082,3.8959371922712254e-38,4.330704355423244e-34,76.50270342264601
9168,3.17277771053962,8.738988496380054,24.251469133592575,4.6000364920317e-38,4.330704355423244e-34,76.37022380981205
1282,5.502817497370706,8.806974609978202,22.937296063694273,2.215030359172599e-36,1.3817953235448312e-32,72.51329919070622
3945,3.158909129689742,6.817336007930454,22.82296866730526,2.935461943905319e-36,1.3817953235448312e-32,72.26181421941062
4162,4.193253586852328,6.759373461802233,22.39524603423762,1.071585637069714e-35,3.4827127833259957e-32,70.95686003928056
3428,1.8180410546023618,7.826765832430664,22.37946424625411,1.1097921663368195e-35,3.4827127833259957e-32,70.94202262559438
7076,5.714030453984409,7.597587793871956,22.17104856632185,2.2260090580322008e-35,5.987646364812615e-32,70.21911972336483
1508,3.3886206859244066,10.218499041815917,21.9761867164488,3.782387155848824e-35,8.902320969684689e-32,69.68304795211505
1075,3.265219369676145,7.331131148119314,21.8972583581687,4.817496643714426e-35,9.720424839178066e-32,69.48092454518259
7057,5.965639209841198,7.589808965949401,21.894998466174197,5.168115904435684e-35,9.720424839178066e-32,69.37703629488554
1284,4.904909564362439,8.814977538603099,21.860249936503415,5.678722886555777e-35,9.720424839178066e-32,69.30625813112991
6675,2.8162842009157516,5.06989185406411,21.518009989115082,1.5540268032454173e-34,2.438397556525663e-31,68.29909463409703
10935,1.8028808105816934,6.038413609141269,21.359613128687574,2.5456641930571888e-34,3.4436776178993515e-31,67.82501804724131
2022,3.743815645250776,6.991734946764098,21.360480203297392,2.560491085590893e-34,3.4436776178993515e-31,67.81686191512087
813,2.9293651029206664,7.720327042890132,21.231117608065727,3.806403698866667e-34,4.778051683064032e-31,67.42490328156987
3678,4.239439318206141,7.16741668203253,21.15742003821707,4.931563006776933e-34,5.80352499091268e-31,67.16251309242134
22906,-1.3703060608038848,6.634119250539203,-21.081923122909966,6.085777706755262e-34,6.740535790617342e-31,66.95499465492438
4837,5.908428247309454,6.408303457525884,21.02002534079756,7.855918636747747e-34,7.786946684287281e-31,66.63539401525773
651746,-3.8961569261250695,3.72475378368354,-21.000993318351906,7.857665675365571e-34,7.786946684287281e-31,66.62732749921449
29904,-3.0848495434366114,6.826627405308166,-20.931495435593565,9.791183311051296e-34,9.217909528189243e-31,66.48423496336814
10763,3.7742368596637594,5.879300983771746,20.810063542590406,1.4398206748753795e-33,1.2909706422489771e-30,66.08728392534123
23268,-2.051739737681145,5.305878776626019,-20.754914639197988,1.7162996006559704e-33,1.4689184173068758e-30,65.923960741028
4811,4.481050326802055,6.582702359238649,20.647380097041523,2.4998125767653066e-33,2.021657341567803e-30,65.53949480628634
10095,3.4473611210673063,6.583527838929833,20.62770852056543,2.57686420933811e-33,2.021657341567803e-30,65.5209360154118
3597,1.7395468290777965,6.879202989312092,20.4267711290516,4.914031359484728e-33,3.7010518587095174e-30,64.87327079637072
11098,3.6567439853718806,6.242750669715883,20.33806155372789,6.571655905400924e-33,4.759142655492077e-30,64.58560329438023
6464,1.7584445384211609,7.47077547164716,20.315140910612737,7.047046823206437e-33,4.914401653116815e-30,64.51634210721005
7791,2.539543250106882,6.919645582573771,20.283752798347322,7.800774161300727e-33,5.24574202439755e-30,64.41558594268757
55243,2.78083691145011,6.547654478725159,20.203106740919715,1.013300461154573e-32,6.579115304510157e-30,64.15673111119412
54455,-1.3758816827101574,5.4640236050968936,-20.096239971177873,1.434672358865679e-32,9.004481948360622e-30,63.80296539527237
1112,-1.8842594007299773,6.632750539591909,-20.0718126046467,1.55363191608514e-32,9.436559789666807e-30,63.72488957168101
8463,3.102684291760692,4.357964983543436,20.048465374149536,1.6766429121317868e-32,9.865471685165441e-30,63.6030624165835
55288,-1.4995907073970285,5.522996166005363,-20.033134183770848,1.7627280415127476e-32,1.0057698876861675e-29,63.59719810905841
7070,6.066994608983984,6.972658702523102,20.036893719922958,1.8416166083907157e-32,1.0198764446879053e-29,63.51712747693439
55294,-2.942460176044775,5.278782263335653,-20.001178438229307,1.9567960892237717e-32,1.0527003875426971e-29,63.501893439014296
1643,-1.8650266407728315,5.424635563295856,-19.909094483928286,2.6456447344025813e-32,1.3837456862240614e-29,63.195276146067265
871,3.4889748939072946,7.828751065126181,19.896431046002732,2.779251600127251e-32,1.4143386048323246e-29,63.15300719955009
7837,5.373089125589878,6.446827239789185,19.85144217062717,3.3788986218991763e-32,1.674244267151042e-29,62.93185659896204
1522,3.6111167171788097,7.2605225708267405,19.79001403065662,3.960487648232611e-32,1.9121031263736368e-29,62.800765445392585
1306,4.455549529344038,7.794402295249003,19.744966983782216,4.7600484498520107e-32,2.2318188640439578e-29,62.61971551017548
286128,-1.5512601838516447,3.799763369225132,-19.724312990230228,4.8597680931436755e-32,2.2318188640439578e-29,62.59356949099876
