entrez_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
11098,3.828861249568134,6.242750669715883,16.338653425100944,6.827078651790477e-27,1.2854706393456289e-22,50.81373553324739
7070,6.152296036676033,6.972658702523102,16.013156575157257,2.382215160169428e-26,2.242736462541508e-22,49.543728218479735
824,2.4387139685187593,7.041206384802269,15.692457010142434,7.666525352531351e-26,3.7493290444013413e-22,48.41667025979801
220323,3.8710389175158815,4.57075196218932,15.68237692749339,7.965009388499318e-26,3.7493290444013413e-22,48.34679935128153
9509,6.454704279783791,6.096023718907477,15.449332249465993,2.0195425833555819e-25,7.605193460400451e-22,47.42558752731805
253827,3.3840780253376135,4.552196441169468,15.213486660048904,4.775297851390463e-25,1.4985680540638505e-21,46.59923820932002
2048,5.057000676451392,2.8673084279663086,15.089325993403293,7.709076234532762e-25,2.0736313774288197e-21,45.96217473593258
55752,4.027309668101546,5.516160447746951,15.04673377250782,9.23770385591524e-25,2.1742090737878507e-21,45.94987979772714
2519,2.5763795998155086,5.425914699406092,14.93266377736299,1.4147252958207354e-24,2.9597625105565144e-21,45.52361873778433
124602,5.328540690267898,-0.3918176109932789,14.827326023772883,2.1316955936779983e-24,4.013769633336303e-21,43.23356569835222
4130,4.548061853480302,4.692383755904433,14.723452330120933,3.2533443069991154e-24,5.568838177862395e-21,44.69303464250156
5396,4.438774684890365,6.78130522123099,14.668269934961934,4.08779490642881e-24,6.414090857762339e-21,44.475631006606086
2887,2.510970557802358,4.898831882085371,14.59597850683841,5.271451026911496e-24,7.635088568132043e-21,44.22261639072804
283487,3.3069337439536466,1.6645696722854544,14.548141873997858,6.362154051803074e-24,8.51267424632296e-21,43.7277383518416
221336,4.342677607299925,1.5926658174180044,14.531919616295898,6.781566397304392e-24,8.51267424632296e-21,43.65650766347639
23452,4.452552366252441,6.906315267997681,14.471105295601847,8.879456817668666e-24,1.0449455776242707e-20,43.705823013222435
51196,2.953350877889724,1.2341062600682204,14.264200189566981,1.9543104211223724e-23,2.1645712305478322e-20,42.71774417278457
4162,3.4262243789334166,6.759373461802233,14.235924897252211,2.200263587594105e-23,2.3015979494894117e-20,42.79955129256934
56952,2.8187614602593336,2.4026267909913392,14.196204479840203,2.5607568756008115e-23,2.5377100637204042e-20,42.50549095616243
6678,5.495864199514649,10.592658638896133,14.150540073407717,3.133776961201964e-23,2.950294320123589e-20,42.43309438537565
7043,4.48115145063843,4.912221530781482,14.097676557181078,3.897185880429761e-23,3.494291092505332e-20,42.24210907240669
2200,4.758869806155709,7.288240183976626,14.076126540518821,4.265301048867757e-23,3.650516065869591e-20,42.15078674498408
813,2.6494952662813525,7.720327042890132,13.987797358383043,5.884425883502077e-23,4.817298041759157e-20,41.81799381842092
1627,3.560124058706404,5.295571431406462,13.95297404718792,6.80638604066327e-23,5.339893448318696e-20,41.68854680961246
84674,2.5791829122466057,3.8681933340927763,13.93922723170946,7.149187335495421e-23,5.384481933601731e-20,41.63452796262619
51804,7.338919989565271,-0.668485194425565,13.923799233539535,7.605736136374965e-23,5.508015604300162e-20,39.943527623379026
60681,4.691645917011285,6.705793389069615,13.900193331953131,8.623130293076623e-23,6.013515566234805e-20,41.452935484087675
6238,2.1522496837482743,7.47505743386531,13.688600620777176,1.9615541622971582e-22,1.2659022881492438e-19,40.61760366778509
254228,4.176026984564093,2.4067538572942517,13.68321143214086,2.0047648268962773e-22,1.2659022881492438e-19,40.525692337915835
2615,4.489533180325981,5.369518647891266,13.684468415387693,2.0490867397925827e-22,1.2659022881492438e-19,40.599502387138145
10418,4.147913552845364,6.031596478826144,13.680232316041765,2.0841771168212099e-22,1.2659022881492438e-19,40.57519875482703
25903,5.676712394387744,6.014378589896447,13.611331344148693,2.7766503579782653e-22,1.6337984246991487e-19,40.29690307130171
219654,3.020092417670119,5.386414080064593,13.575598479802535,3.099952881302841e-22,1.7687579636985211e-19,40.171297711651384
22808,3.420393556019918,4.111132513200299,13.488726995003644,4.411825715103064e-22,2.4432431291081053e-19,39.83484489970108
401237,4.432391038167551,0.07978683385319725,13.469007702053132,4.780405306565756e-22,2.5717214719236176e-19,38.99680307927203
9448,1.7917070062271643,7.388624325544294,13.425852237409616,5.698997789240133e-22,2.9807341492667355e-19,39.55302257512297
55568,1.9518582923366603,5.59201563313692,13.352806671673179,7.677671989099026e-22,3.9071050238579877e-19,39.25078907627871
57194,3.153151887832042,3.2180062546874586,13.30776740175444,9.229491552538965e-22,4.573213064283057e-19,39.110112313254135
57493,2.969508334420565,5.919260864118247,13.264413964527929,1.102916129040228e-21,5.214569456398194e-19,38.90642847208768
11167,4.430121153333573,8.478576108010875,13.269370982287112,1.1077740626476591e-21,5.214569456398194e-19,38.92170371223095
9019,1.3970201151464758,6.904886916587736,13.241477352742004,1.2107219725305006e-21,5.383787000627259e-19,38.79524859914403
