GSM,condition,PC_1,PC_2,cells
GSM4729097,normal_skin,-0.41482546286584365,0.5783479471312306,1106
GSM4729098,normal_skin,2.105688496116793,3.0366334213883674,3921
GSM4729099,normal_skin,4.014201196155298,4.501328987975179,709
GSM4729100,hypertrophic_scar,1.925933404578144,0.523728104059239,3185
GSM4729101,hypertrophic_scar,-0.5584260323990261,-1.1698022362411626,7998
GSM4729102,hypertrophic_scar,-2.4232615689500254,-1.5664842321961412,5339
