gs_name,NGenes,Direction,PValue,FDR,mode,contrast
REACTOME_HIV_INFECTION,217,Down,4.6007309450470365e-9,2.1395039456887895e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,122,Down,4.628738895736437e-9,2.1395039456887895e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_UNWINDING_OF_DNA,12,Down,4.6875691954528256e-9,2.1395039456887895e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,54,Down,4.7725604882067665e-9,2.1395039456887895e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,54,Down,5.534305111261152e-9,2.3417603537685905e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,32,Down,5.623507877454059e-9,2.3417603537685905e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,42,Down,5.629339223119453e-9,2.3417603537685905e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,62,Down,5.733363216517224e-9,2.3417603537685905e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC,38,Down,6.392498944030826e-9,2.5303557198595754e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,110,Down,6.573090372516427e-9,2.5303557198595754e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_INTERLEUKIN_1_SIGNALING,101,Down,6.608110693866139e-9,2.5303557198595754e-7,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_REGULATION_OF_CDH1_FUNCTION,60,Down,7.67543052072866e-9,2.87906965246924e-7,stage_only,hypertrophic_scar_vs_late_wound
