entrez_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
1514,5.092298933780857,7.108802375418712,22.88092122176913,6.038228790309274e-42,1.136938098927333e-37,85.06566465478143
9168,3.102205425080588,8.791393271881603,21.675496973929164,5.700083066337835e-40,5.3663432028037546e-36,80.57963483246499
1508,3.3579000822030167,9.997111516778947,21.470149482987043,1.2661254318548725e-39,6.83867253711075e-36,79.73812425257286
3945,3.0801851403999203,6.7549765638792945,21.434889494118845,1.4527956953870625e-39,6.83867253711075e-36,79.66711167770531
7076,5.643438530498091,7.50490063011057,21.351799270900667,2.1072554000995706e-39,7.935502385694963e-36,79.2609861532066
22906,-1.3423352205285983,6.6282189973465435,-20.8280799959919,1.584999667963648e-38,4.973993124681254e-35,77.29576924035985
1075,3.197801133743436,7.240771772073984,20.76471213014404,2.0393802498447779e-38,5.48564153204676e-35,77.04114237183576
2022,3.6560593622596835,7.045928947572951,20.65730572554026,3.167273279640581e-38,7.454573572794062e-35,76.6005630535654
6675,2.740451982788395,5.136990254092907,20.589010907538643,4.112575141199715e-38,8.603964148183271e-35,76.33048061689261
3678,4.144634017994751,7.251640265573123,20.567190401008855,4.6439466881695266e-38,8.744087219154402e-35,76.2163316230604
1522,3.5627468841294547,7.240090501046252,20.484086505090183,6.337057062278469e-38,1.0259611631028134e-34,75.91277208250257
4162,4.058862096272016,6.9195868518382575,20.480960383395267,6.538602133535377e-38,1.0259611631028134e-34,75.87431083581639
23268,-2.002169455314445,5.2841315172923,-20.247613615451,1.6240599627571605e-37,2.3522634645195828e-34,74.97965072775449
64101,5.034441836109515,1.509174273056518,20.16637030789698,2.2565794052612695e-37,3.0349381158331745e-34,73.31520845209431
29904,-2.998084635902928,6.868255690469312,-20.119113261333954,2.7333909483255285e-37,3.431134544401425e-34,74.46153626404876
4837,5.761468661113206,6.5156196045080135,20.089480183845147,3.218420090365221e-37,3.787476992592922e-34,74.237119497836
1282,5.353928569833819,8.864247948099603,20.054297468785318,3.7128118052324032e-37,4.112266675336524e-34,74.14248414449895
2495,4.05769027819093,10.246652409475294,20.006773926161877,4.315980513845837e-37,4.5147553941779595e-34,73.96412857449991
6482,4.316291731025334,5.339364376066425,19.95885587384967,5.361951973937408e-37,5.313694406171971e-34,73.74242697079052
2519,2.4832084634570033,5.590700938700837,19.86502504020733,7.697405336695935e-37,7.2467222542323885e-34,73.42925905601389
10763,3.6610650783820184,5.981155042880552,19.84183909577825,8.558451689405053e-37,7.673670802847988e-34,73.31522970657647
23406,4.292437532153796,6.020083593050229,19.786668473403388,1.0956038547593203e-36,9.376874991483292e-34,73.06626872345159
7057,5.7787169567148045,7.78780328303571,19.76017749248167,1.23332688616679e-36,1.0096657365058474e-33,72.94508829792068
55294,-2.8821690582821606,5.2850472856414505,-19.726519047652005,1.3579755695593612e-36,1.042280425166861e-33,72.86653727013477
231,2.444648130820318,5.089606747573085,19.72191926117152,1.3838765005667601e-36,1.042280425166861e-33,72.84294494547369
968,4.855719595218099,6.568806737523942,19.702282973351487,1.559698445683363e-36,1.12952161668354e-33,72.71552893857776
4811,4.322677679842524,6.786341768950637,19.680342549434958,1.694930601465556e-36,1.1637934974751452e-33,72.63663150444688
7791,2.5071609264258754,6.896826979742615,19.667529475182704,1.7306398602848832e-36,1.1637934974751452e-33,72.62475141897137
85461,-2.5000514490848236,5.67132006169466,-19.654024705698387,1.8295447838986656e-36,1.1878792667595853e-33,72.56938563905388
10095,3.368822759949775,6.634768396879913,19.648389733022928,1.8931782231020433e-36,1.1882217587596125e-33,72.53577731986266
1112,-1.854674686948723,6.672403707514388,-19.612472704401192,2.1710398289478116e-36,1.318661578685753e-33,72.39704648498906
1284,4.776933548149386,8.8960639731877,19.559437328791436,2.7884781652313064e-36,1.6407579804106332e-33,72.14535142101104
94,3.5386408512049967,5.496557682623171,19.542149389428502,2.9097863657829957e-36,1.6602535600402432e-33,72.09287596623253
10630,4.4887059795537585,5.586860265879283,19.535293457946374,3.080615393429429e-36,1.7060266836141975e-33,72.03053410220228
11099,-2.7759444367804624,5.301788085852719,-19.500722996353428,3.443614524053448e-36,1.8525662249543532e-33,71.94072925518273
55187,-1.9232126394029079,6.497691177799279,-19.382293057596574,5.6242985572983924e-36,2.94166437598254e-33,71.44869103315443
