entrez_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
23705,2.4945723415272436,4.0567554517496145,13.6309864050759,1.0380164809006644e-24,1.954481231887861e-20,45.70434512035587
594,1.1004063548034249,3.4551071462659215,13.35466574536559,3.965596158874742e-24,3.161996072928748e-20,44.38034507661283
7869,2.89678535845173,2.9698008453856315,13.255542262645625,6.495968276590402e-24,3.161996072928748e-20,43.89252625351794
91653,1.6775497862089033,5.659448035890486,13.246910288591739,6.717289442729296e-24,3.161996072928748e-20,43.809899735847495
81621,2.0057162320477255,2.107402291527646,13.1218381648802,1.2402409797745472e-23,4.67049948163499e-20,43.223926412602076
1508,-2.007581941750807,9.997111516778947,-12.96639257913651,2.66339527912152e-23,7.821450167490135e-20,42.49598729894051
54756,1.6666695867141819,3.4533668500377215,12.948570292697244,2.907756714240318e-23,7.821450167490135e-20,42.408850750959004
55366,2.2050646390270705,5.16134481397944,12.646263401904832,1.3104953033762065e-22,2.758317825006668e-19,40.86837651486038
4312,-9.376148869715038,4.982609164835632,-12.651233156349582,1.3184375391714912e-22,2.758317825006668e-19,40.837623639483816
10630,-2.4065121685563193,5.586860265879283,-12.615056372557422,1.532192024808861e-22,2.8849643635126045e-19,40.713262044388635
10085,4.199050390269623,3.6685367168805687,12.573621337098464,1.8893866888764087e-22,3.2341147240776273e-19,40.560772348438604
142,-0.8113874140017945,6.531295412804535,-12.546136351072507,2.1274132854535864e-22,3.338088729317131e-19,40.36376588583656
10437,-2.825145425421292,6.746054445130915,-12.514363621981635,2.5350524594772525e-22,3.671730981499784e-19,40.21416488438261
10460,-1.5352247758875004,4.988250901022565,-12.33685315908598,6.023363730805432e-22,8.100993977666819e-19,39.36298890339163
7060,5.433877132623786,3.316288224973393,12.30546592415222,7.33165127621708e-22,9.203177458659427e-19,39.22053729465905
27123,3.1068106691009243,2.313890370354928,12.161176555266621,1.4538110224316383e-21,1.7108629838353324e-18,38.53585096267043
27345,1.8251241905767488,2.8075003998635255,12.076014477228874,2.2152191748389747e-21,2.453550696649591e-18,38.13058979753805
3065,-0.6593307189893087,6.193061492241796,-12.020135932720907,2.930130755162209e-21,3.0650795549416244e-18,37.749363174989874
