entrez_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
8492,3.731451094242347,2.5476462453346325,10.400238240783477,2.1899739374837338e-16,4.123501926888122e-12,26.893903067594273
23705,2.43808816534984,3.6529147831288924,10.068534120269694,9.359330908842076e-16,8.811342084129373e-12,25.47569448123614
594,1.091013394149115,3.277746884482471,9.97029884453207,1.4450642722886128e-15,9.069705060974095e-12,25.05645741261297
774,4.160880971244014,-1.879999124480688,9.821760013788301,2.790078167163556e-15,1.265116885617896e-11,23.79667268248051
6506,2.6091446403005207,0.7510083884381965,9.77988185761367,3.359490375532147e-15,1.265116885617896e-11,24.043117038493996
57536,1.0429040093285076,2.2981910338326657,9.675696186253896,5.334741785658127e-15,1.6741308847026143e-11,23.738619689052584
114899,4.045456094620463,2.304853813190333,9.63737156148627,6.428370409432478e-15,1.7291398062743448e-11,23.592594099561303
399947,4.364040042463033,-3.9770238476293915,9.534523274570205,9.991572251016777e-15,2.3516414239299362e-11,21.75866746129155
10194,0.935868820272507,4.772924518043084,9.403233644781277,1.792371755295671e-14,3.749840864495799e-11,22.533489996211088
9358,3.901036307689822,2.3418590226535216,9.351036745745116,2.2965269323430512e-14,4.324130560908731e-11,22.3380608183724
22904,-1.3429799159724478,6.651153398532789,-9.217035273069056,4.1102139475361166e-14,7.035565310741595e-11,21.698332899667033
1404,3.7355465639049075,-2.9664701947609458,9.132510990455348,5.993033934226772e-14,9.403569662296324e-11,20.878246475783286
1908,5.050032473956627,-2.015306370475123,9.107683539180966,6.695321237930893e-14,9.697400276076985e-11,20.6845065521193
27123,2.9769297134613653,1.7596926014983354,9.073449884385578,7.806001207919021e-14,1.0002370904330042e-10,21.151072223924402
1508,-1.9263122092462073,10.218499041815917,-9.068691122693483,7.968323520364896e-14,1.0002370904330042e-10,21.1160663044163
101927587,3.807195428915829,-3.292084320393731,8.965391186153106,1.2638945387906564e-13,1.4873668919305795e-10,19.504156594180117
56967,1.7518567989569718,5.315001155295347,8.92836987868154,1.4911938244882722e-13,1.6516287365464513e-10,20.427689236435725
81621,1.7662974968116376,1.6431938393610868,8.901516772781807,1.6812680392378766e-13,1.7192668183883242e-10,20.40027779519679
1514,-2.299369672012743,7.2527715824609675,-8.895792117798694,1.7348807450941717e-13,1.7192668183883242e-10,20.28853576107528
10085,3.642638471881667,2.8110964726731393,8.87977515426571,1.8779239950348128e-13,1.7376769750895704e-10,20.27392648691368
7869,2.3602327626684443,2.2560377844505495,8.861891636397488,2.006920419803364e-13,1.7376769750895704e-10,20.21802659013525
114800,2.4949314787267034,0.4991393224781012,8.859297490722883,2.030319902914151e-13,1.7376769750895704e-10,20.09190128323442
