entrez_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
6678,5.714544316854786,11.342987969669185,19.955157564896627,5.502968508654293e-37,1.0361539404945169e-32,73.66234654496776
9509,6.5933216662151475,6.794911658332648,19.725319895338966,1.4228974837644945e-36,1.3243127624586092e-32,72.68182156291597
2519,2.464740133771669,5.590700938700837,19.61939209300645,2.1100102434414082e-36,1.3243127624586092e-32,72.41879350258256
7070,6.038958366323648,7.448157564798001,19.41649394851141,5.08337305649477e-36,2.3928707820185004e-32,71.47367515783743
23452,4.457750590723271,7.374122425713135,19.228584542123983,1.0991044408361574e-35,4.139007503300802e-32,70.78015979253821
5396,4.508886886259601,7.173704942751612,19.132734086634272,1.6394953113147576e-35,5.145009536124261e-32,70.3758607888655
2887,2.7091060780851084,5.1770225834522945,19.019052117107233,2.5600250261601805e-35,6.417574004778288e-32,69.92783316717812
5118,5.126032611896694,7.258863966438316,19.013400518288368,2.7266765116695684e-35,6.417574004778288e-32,69.86745880569612
60681,4.828629523430495,7.129044707636666,18.977466453175882,3.170223834250755e-35,6.632460508345274e-32,69.71607690401875
824,2.300305969140366,7.252525313806929,18.871110047969083,4.768187987317161e-35,8.978021161319483e-32,69.32594847872157
6238,2.2948394330991837,7.691981710296713,18.765620826630126,7.441815600706532e-35,1.2738358722336663e-31,68.883685067392
11098,3.7697551571735413,6.555200649371788,18.673089770629026,1.1335812348478178e-34,1.77868342257913e-31,68.46053714884799
220323,4.034833031210043,4.948589240380619,18.62865460665754,1.3329343196106518e-34,1.930601561842228e-31,68.19606234232401
55752,4.310162237734412,6.047259065357556,18.448788917932774,2.9404287349926758e-34,3.9546666179412205e-31,67.50698459339286
1627,3.7359753015674135,5.618354429904755,18.388748314632092,3.7313367710318234e-34,4.68382267078388e-31,67.25320235262429
1290,5.546050385421172,9.026700693563534,18.371171118304396,4.1312789588531395e-34,4.86174071976536e-31,67.17573699886492
871,3.30281276716489,8.06653149915592,18.321818365001686,4.968065973533746e-34,5.502571424450994e-31,66.99612568048664
1281,6.871106353601235,12.929786156383662,18.290526074787383,5.833178526300221e-34,6.101828803983715e-31,66.78123318327391
253827,3.407790334677418,4.920009847274283,18.21814454841072,7.669440157205641e-34,7.60041519579079e-31,66.5321665146619
5654,4.23541609200576,7.894392374392761,18.206051333438833,8.312515959188106e-34,7.825818149777642e-31,66.48524413452611
2200,4.8460961225000805,7.837718790909706,18.083587399108957,1.4190023124226997e-33,1.2723045019336672e-30,65.95312080505146
1266,2.4081290638346324,7.006242755365112,17.893295868740985,3.1163575506976686e-33,2.667177105549382e-30,65.16505390113412
1277,7.448450378952293,12.654379784613859,17.838277510015264,4.1472549456330333e-33,3.3951592770141034e-30,64.84938857113129
1278,6.782979817809133,12.482669962128476,17.79497940011331,4.9471713355708014e-33,3.842353076107957e-30,64.6716209236008
11167,4.522224550513525,8.939910769985799,17.78790458738629,5.1016425143501475e-33,3.842353076107957e-30,64.68206590531801
813,2.649079008508883,7.908995125710892,17.762929623556815,5.49075963182201e-33,3.9763658887529476e-30,64.60337516525954
8642,3.5266439869147095,6.170588021545008,17.739727842422276,6.239450271206924e-33,4.35120774653908e-30,64.4817687618182
165,4.653254785021373,8.590673552483013,17.666787443458514,8.644409113492975e-33,5.813056399927115e-30,64.15796666462538
219654,3.0652724310601713,5.704811396901829,17.612910447636125,1.066190127469911e-32,6.922515141424467e-30,63.94917404624332
1601,3.7519471437472856,6.794736972275086,17.503105262059936,1.754079707013935e-32,1.1009188934455126e-29,63.45478587272156
22808,3.583725394020753,4.393300376760506,17.472244343747498,1.9565525150095962e-32,1.1883847517779253e-29,63.24975803958869
2335,5.658886622950203,9.997760569182638,17.246750287631567,5.460920690098999e-32,3.213239864808564e-29,62.32529785041375
7043,4.798844104560664,5.428586546998091,17.228252741853385,5.911399911834168e-32,3.3472273439721815e-29,62.21505023681342
1289,5.224572691534093,9.423993173297111,17.223773591751325,6.044172802329077e-32,3.3472273439721815e-29,62.22553107799022
51148,4.96670528190993,6.2586499955490495,17.205528815711435,6.551676510719411e-32,3.524614772009594e-29,62.13905454576396
